,banks,discount_description,vendor_image,vendor_name
67,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}]",Enjoy up to 10% off at Nauratan Rooftop BBQ Restaurant with Faysal Bank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Nauratan Rooftop BBQ Restaurant
68,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}]",Enjoy up to 20% off at New Yorker Pizza with Faysal Bank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",New Yorker Pizza
69,"[{'bank_name': 'hbl', 'uri': 'https://propakistani.pk/tools/bank/hbl/'}]",Enjoy up to 15% off at Next with HBL,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Next
70,"[{'bank_name': 'hbl', 'uri': 'https://propakistani.pk/tools/bank/hbl/'}]",Enjoy up to 25% off at Nike with HBL,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Nike
71,"[{'bank_name': 'ubl-bank', 'uri': 'https://propakistani.pk/tools/bank/ubl-bank/'}]",Enjoy up to 15% off on Options Coffee with UBL,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Options Coffee
72,"[{'bank_name': 'ubl-bank', 'uri': 'https://propakistani.pk/tools/bank/ubl-bank/'}]",Enjoy up to 15% off on Options Restaurant with UBL,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Options Restaurant
73,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}]",Enjoy up to 10% off at Paper Clip with Faysal Bank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Paper Clip
74,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}]","Enjoy up to 15% off at PC & Marriott Restaurants with Faysal Bank (avail discount on amount spend up to PKR 25,000/-)","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",PC & Marriott Restaurants
75,"[{'bank_name': 'hbl', 'uri': 'https://propakistani.pk/tools/bank/hbl/'}, {'bank_name': 'ubl-bank', 'uri': 'https://propakistani.pk/tools/bank/ubl-bank/'}]",Enjoy up to 25% off at Pizza Hut.,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Pizza Hut
76,"[{'bank_name': 'ubl-bank', 'uri': 'https://propakistani.pk/tools/bank/ubl-bank/'}]",Enjoy up to 20% off ( on International Packages) Quality Aviation with UBL.,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Quality Aviation
77,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}]","Enjoy up to 15% off at Roasters with Faysal Bank (avail discount on amount spend up to PKR 10,000/-)","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Roasters
78,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}]","Enjoy up to 15% off at Royal Elephant with Faysal Bank (avail discount on amount spend up to PKR 25,000/-)","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Royal Elephant
79,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}]",Enjoy up to 15% off at Sabs Salon with Faysal Bank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Sabs Salon
