,banks,discount_description,vendor_image,vendor_name
66,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}, {'bank_name': 'ubl-bank', 'uri': 'https://propakistani.pk/tools/bank/ubl-bank/'}]",Enjoy up to 25% off at Essa Laboratory.,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Essa Laboratory
67,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}]",Enjoy up to 15% off at Essa Pharmacy with Faysal Bank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Essa Pharmacy
68,"[{'bank_name': 'allied-bank', 'uri': 'https://propakistani.pk/tools/bank/allied-bank/'}]",Enjoy up to 15% off at Essence De' Paris with Allied Bank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Essence De' Paris
69,"[{'bank_name': 'ubl-bank', 'uri': 'https://propakistani.pk/tools/bank/ubl-bank/'}]",Enjoy up to 15% off on Essence De’ Paris with UBL,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Essence De’ Paris
70,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}]",Enjoy up to 5% off (ALL FARES through official website) at Etihad Airways with Faysal Bank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Etihad Airways
71,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}]",Enjoy up to 20% off at Excel Labs Pvt Ltd with Faysal Bank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Excel Labs Pvt Ltd
72,"[{'bank_name': 'js', 'uri': 'https://propakistani.pk/tools/bank/js/'}]",Enjoy up to 20% off at Falcon Adventure Club with JS Bank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Falcon Adventure Club
73,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}, {'bank_name': 'meezan-bank', 'uri': 'https://propakistani.pk/tools/bank/meezan-bank/'}]",Enjoy up to 30% off at FedEx,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",FedEx
74,"[{'bank_name': 'hbl', 'uri': 'https://propakistani.pk/tools/bank/hbl/'}]",Enjoy up to 20% off on FHS with HBL,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",FHS
75,"[{'bank_name': 'sc', 'uri': 'https://propakistani.pk/tools/bank/sc/'}]",Enjoy up to 10% off at Fijji's Grill with Standard Chartered Bank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Fijji's Grill
76,"[{'bank_name': 'ubl-bank', 'uri': 'https://propakistani.pk/tools/bank/ubl-bank/'}]",Enjoy up to 30% off on Fitdiction Membership and 30% on Mothly fees.,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Fitdiction
77,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}]","Enjoy up to 15% off (avail discount on amount spend up to PKR 25,000/-) at Front Page Cafe with Faysal Bank","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Front Page Cafe
78,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}]","Enjoy up to 15% off (avail discount on amount spend up to PKR 30,000/-) at Fujiyama with Faysal Bank","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Fujiyama
