,card_detail,category,city,discount,max_discount_cap,title
365,Bank Alfalah Mastercard Optimus Credit Card,Dining,Multan,Upto 10% off,Discount on selected services on all bank alfalah cards T&C Apply.,N/A
366,Bank Alfalah Visa Gold Credit Card,Dining,Multan,Upto 10% off,Discount on selected services on all bank alfalah cards T&C Apply.,N/A
367,Bank Alfalah Mastercard Titanium Credit Card,Dining,Multan,Upto 10% off,Discount on selected services on all bank alfalah cards T&C Apply.,N/A
368,Bank Alfalah Ultra Cashback Card,Dining,Multan,Upto 10% off,Discount on selected services on all bank alfalah cards T&C Apply.,N/A
369,Bank Alfalah Visa Classic Credit Card,Dining,Multan,Upto 10% off,Discount on selected services on all bank alfalah cards T&C Apply.,N/A
370,Bank Alfalah Debit Cards,Dining,Multan,Upto 10% off,Discount on selected services on all bank alfalah cards T&C Apply.,N/A
371,Bank Alfalah Pehchaan Account for Women,Dining,Multan,Upto 10% off,Discount on selected services on all bank alfalah cards T&C Apply.,N/A
372,Bank Alfalah Islamic Gold and Classic Debit Card,Dining,Multan,Upto 10% off,Discount on selected services on all bank alfalah cards T&C Apply.,N/A
373,Bank Alfalah Islamic Premier Signature Debit Card,Dining,Multan,Upto 10% off,Discount on selected services on all bank alfalah cards T&C Apply.,N/A
374,Bank Alfalah Islamic Signature Debit Card,Dining,Multan,Upto 10% off,Discount on selected services on all bank alfalah cards T&C Apply.,N/A
375,Bank Alfalah Islamic Powerpack Debit Card,Dining,Multan,Upto 10% off,Discount on selected services on all bank alfalah cards T&C Apply.,N/A
376,Bank Alfalah Mastercard Optimus Credit Card,Dining,Islamabad,15%,N/A,"boardwalk Restaurant, F-7, Markaz"
377,Alfalah American Express Card,Dining,Islamabad,Upto 15%,N/A,"boardwalk Restaurant, F-7, Markaz"
378,Alfalah Mastercard Titanium Credit Card,Dining,Islamabad,Upto 15%,N/A,"boardwalk Restaurant, F-7, Markaz"
379,Alfalah Pehchaan Account for Women,Dining,Islamabad,Upto 15%,N/A,"boardwalk Restaurant, F-7, Markaz"
380,Alfalah Premier VISA Platinum Credit Card,Dining,Islamabad,Upto 15%,N/A,"boardwalk Restaurant, F-7, Markaz"
381,Alfalah Premier VISA Signature Debit Card,Dining,Islamabad,Upto 15%,N/A,"boardwalk Restaurant, F-7, Markaz"
382,Alfalah Ultra Cashback Card,Dining,Islamabad,Upto 15%,N/A,"boardwalk Restaurant, F-7, Markaz"
383,Alfalah Visa Classic Credit Card,Dining,Islamabad,Upto 15%,N/A,"boardwalk Restaurant, F-7, Markaz"
384,Alfalah Visa Gold Credit Card,Dining,Islamabad,Upto 15%,N/A,"boardwalk Restaurant, F-7, Markaz"
385,Alfalah Visa Platinum Credit Card,Dining,Islamabad,Upto 15%,N/A,"boardwalk Restaurant, F-7, Markaz"
386,Alfalah Visa Signature Debit Card,Dining,Islamabad,Upto 15%,N/A,"boardwalk Restaurant, F-7, Markaz"
387,Bank Alfalah Debit Cards,Dining,Islamabad,Upto 15%,N/A,"boardwalk Restaurant, F-7, Markaz"
388,Bank Alfalah Mastercard Optimus Credit Card,Other,Islamabad,10%,N/A,All Items
389,Alfalah Premier VISA Signature Debit Card,Other,Islamabad,10%,N/A,All Items
390,Alfalah Visa Signature Debit Card,Other,Islamabad,10%,N/A,All Items
391,Bank Alfalah Debit Cards,Other,Islamabad,10%,N/A,All Items
